,product_name,price,spec_score,votes,user_rating,os,utility,thickness,weight,warranty,screen_size,resolution,ppi,battery,screen_feature,processor_name,processor_speed,no_cores,caches,graphics_card,ram_memory,internal_memory,port_connection,wireless_connection,usb_ports,hardware_features
0,HP Victus 15-fb0157AX Gaming Laptop ,49800,70,97,4.3,Windows 11,Gaming,23.5mm Thick,2.29kg,1 Year,15.6inches,1920x1080 px,141,"52.5Wh, 3 Cell Battery",Anti Glare,"4 GB, AMD Radeon RX 6500M GraphicsLargest",6 x 3.3GHz (Turbo Speed upto 4.2GHz) Cores,"Hexa Core, 12 Threads",16MB Cache,"4GB, AMD Radeon RX 6500M GraphicsLargest",8GB DDR4 RAM,512GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth v5.3","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
1,Xiaomi Redmi G Pro 2024 Gaming Laptop ,102990,78,71,4.3,Windows 11,Gaming,23.45mm Thick,2.7kg,1 Year,16.1inches,2560x1600 px,188,80Wh Battery,Anti Glare,14th Gen Intel Core i9 14900HX,8 x 2.2GHz (Turbo Speed upto 5.8GHz) Performance Cores16 x 1.6GHz (Turbo Speed upto 4.1GHz) Efficient Cores,"24 Cores (8P + 16E), 32 Threads",36MB Cache,"8GB, NVIDIA GeForce RTX 4060 GraphicsLargest",16GB DDR5 RAM,1TB SSD,"HDMI, Display Port, Thunderbolt, Multi Card Reader","WiFi, Bluetooth v5.3","1 x USB 2.0, 3 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
2,Tecno Megabook T1 Laptop ,23990,56,177,4.4,Windows 11,Performance,14.8mm Ultra Slim,1.56kg,1 Year,15.6inches,1920x1080 px,141,70Wh Battery,16:9 Aspect Ratio,Intel UHD Graphics Graphics,2 x 3GHz (Turbo Speed upto 4.1GHz) Cores,"Dual Core, 4 Threads",6MB Cache,Intel UHD Graphics Graphics,8GB LPDDR4 RAM,512GB SSD,HDMI,"WiFi, Bluetooth","3 x USB 3.0, 2 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
3,Samsung Galaxy Book2 Pro 13 Laptop ,62990,60,1511,4.5,Windows 11,Everyday Use,11.2mm Slim,870g,1 Year,13.3inches,1080x1920 px,166,,Anti Glare,Intel Iris Xe Graphics Graphics,4 x 1.7GHz (Turbo Speed upto 4.4GHz) Performance Cores8 x 1.2GHz (Turbo Speed upto 3.3GHz) Efficient Cores,"12 Cores (4P + 8E), 16 Threads",12MB Cache,Intel Iris Xe Graphics Graphics,16GB LPDDR5 RAM,512GB SSD,"HDMI, Thunderbolt, Multi Card Reader","WiFi, Bluetooth v5.1","1 x USB 3.0, 1 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
4,Apple MacBook Air 2020 MGND3HN Laptop ,79990,43,20380,4.7,Mac,Performance,16.1mm Slim,1.29kg,1 Year,13.3inches,2560x1600 px,227,49.9Wh Battery,,Apple M1 Integrated Graphics Graphics,4 x (Turbo Speed upto 3.2GHz) Performance Cores4 x (Turbo Speed upto 2.1GHz) Efficient Cores,Octa Core (4P + 4E),,Apple M1 Integrated Graphics Graphics,8 GB DDR4 RAM,256 GB SSD,Thunderbolt,"WiFi, Bluetooth v5.0","2 x USB 3.0, 2 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
5,Lenovo V15 G4 ‎82YU00W7IN Laptop ,26780,55,205,4.3,Windows 11,Performance,19.9mm Average,1.65kg,1 Year,15.6inches,1920x1080 px,147,,Anti Glare,AMD Radeon Graphics Graphics,4 x 2.4GHz (Turbo Speed upto 4.1GHz) Cores,"Quad Core, 8 Threads",4MB Cache,AMD Radeon Graphics Graphics,8GB LPDDR5 RAM,512GB SSD,"Ethernet (LAN), HDMI, Multi Card Reader","WiFi, Bluetooth","2 x USB 3.0, 1 x USB Type-C",Inbuilt Microphone
6,HP 15s-fq5007TU Laptop ,35990,55,3400,4.2,Windows 11,Everyday Use,17.9mm Slim,1.69kg,1 Year,15.6inches,1920x1080 px,141,"41Wh, 3 Cell Battery",16:9 Aspect Ratio,Intel UHD Graphics Graphics,2 x 1.2GHz (Turbo Speed upto 4.4GHz) Performance Cores4 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,"Hexa Core (2P + 4E), 8 Threads",10MB Cache,Intel UHD Graphics Graphics,8GB DDR4 RAM,512GB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth v5.2","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
7,HP 15s-fq5330TU Laptop ,54990,56,111,4.0,Windows 11,Performance,17.9mm Slim,1.69kg,1 Year,15.6inches,1920x1080 px,141,"41Wh, 3 Cell Battery",Anti Glare,Intel Integrated Iris Xe Graphics,2 x 1.3GHz (Turbo Speed upto 4.4GHz) Performance Cores8 x 900MHz (Turbo Speed upto 3.3GHz) Efficient Cores,"10 Cores (2P + 8E), 12 Threads",12MB Cache,Intel Integrated Iris Xe Graphics,16GB DDR4 RAM,512GB SSD,"HDMI, Multi Card Reader","WiFi, Bluetooth v5.0","2 x USB 3.0, 1 x USB Type-C","Backlit Keyboard, Inbuilt Microphone"
8,Asus Vivobook 15 X1502ZA-EJ544WS Laptop ,52990,59,88,4.5,Windows 11,Performance,,1.7 kg,1 Year,15.6inches,1920x1080 px,141,"42Wh, 3 Cell Battery",16:09 Aspect Ratio,Intel Iris Xe Graphics,4 x 2.5GHz (Turbo Speed upto 4.5GHz) Performance Cores8 x 1.8GHz (Turbo Speed upto 3.3GHz) Efficient Cores,"12 Cores (4P + 8E), 16 Threads",18MB Cache,Intel Iris Xe Graphics,16GB DDR4 RAM,512GB SSD,HDMI,"WiFi, Bluetooth v5.0","1 x USB 2.0, 2 x USB 3.0, 1 x USB Type-C","Fingerprint Sensor, Backlit Keyboard, Inbuilt Microphone"
9,Apple MacBook Air 2022 Laptop ,99900,47,5622,4.7,Mac,Performance,11.3mm Slim,1.24kg,1 Year,13.6inches,2560x1664 px,224,52.6Wh Battery,,Apple M2,4 x (Turbo Speed upto 3.5GHz) Performance Cores4 x (Turbo Speed upto 2.4GHz) Efficient Cores,Octa Core (4P + 4E),16MB Cache,8-Core GPU Graphics,8GB DDR4 RAM,256GB SSD,"Display Port, Thunderbolt","WiFi, Bluetooth v5.0",2 x USB Type-C,"Backlit Keyboard, Inbuilt Microphone"
